,type,image_link-href,address,toilet_name,district_name,coords,award_int
0,Dormitory,https://www.toilet.org.sg/gallery/201/5-star-toilet-unison-construction-dormitor,"6 Tuas Basin Link, S(638760)",Unison Construction Dormitory,South West District,"(1.3184954, 103.6484818)",5
1,MRT Station,https://www.toilet.org.sg/gallery/143/4-star-toilet-dakota-mrt-station,"201 Airport Road, S(397973)",Dakota MRT Station,South East District,"(1.308182, 103.888678)",4
2,Bus Interchange,https://www.toilet.org.sg/gallery/397/5-star-toilet-bukit-batok-bus-interchange,"631 Bukit Batok Central, S(650631)",Bukit  Batok Bus Interchange,South West District,"(1.3496816, 103.7512047)",5
3,Bus Interchange,https://www.toilet.org.sg/gallery/302/4-star-toilet-harbourfront-bus-terminal,"4 Seah Im Road, S(099115)",Harbourfront Bus Terminal,Central District,"(1.2669654, 103.8190449)",4
4,Shopping Centre,https://www.toilet.org.sg/gallery/127/3-star-toilet-vista-point,"Blk 548 Woodlands Drive 44, S(730548)",Vista Point,North West District,"(1.4313546, 103.7940534)",3
5,Market & Food Centre,https://www.toilet.org.sg/gallery/104/5-star-toilet-serangoon-garden-market,"49A Serangoon Garden Way, S(555945)",Serangoon Garden Market,North East District,"(1.363381, 103.866835)",5
6,Shopping Centre,https://www.toilet.org.sg/gallery/112/4-star-toilet-rivervale-plaza,"118, Rivervale Plaza, S(540118)",Rivervale Plaza,North East District,"(1.3855939, 103.9019834)",4
7,Club,https://www.toilet.org.sg/gallery/267/5-Stars-Seletar-Country-Club,"101 Seletar Club Road, Singapore (798273)",Seletar Country Club (Ballroom),Central District,"(1.4096081, 103.8581298)",5
8,MRT Station,https://www.toilet.org.sg/gallery/389/4-star-toilet-woodlands-north-mrt-station-tel3,"30 Woodlands Drive 17, S(737741)",Woodlands South Station (TEL3),North West District,"(1.4273055, 103.790646)",4
9,MRT Station,https://www.toilet.org.sg/gallery/120/4-star-toilet-yew-tee-mrt-station,"61 Choa Chu Kang Drive, S(689715)",Yew Tee MRT Station,North West District,"(1.3974769, 103.7474263)",4
10,Shopping Centre,https://www.toilet.org.sg/gallery/46/4-star-toilet-dawson-place-shopping-centre,"57 Dawson Road, S(142057)",Dawson Place Shopping Centre,Central District,"(1.2927082, 103.8110301)",4
11,MRT Station,https://www.toilet.org.sg/gallery/78/4-star-toilet-dhoby-ghaut-mrt-station-circle-line,"11 Orchard Road, S(238826)",Dhoby Ghaut MRT Station Circle Line,Central District,"(1.2986545, 103.8464611)",4
12,Bus Interchange,https://www.toilet.org.sg/gallery/137/4-star-toilet-sembawang-bus-interchange,"11A, Sembawang Vista, S(757527)",Sembawang Bus Interchange,North West District,"(1.4472813, 103.8195946)",4
13,MRT Station,https://www.toilet.org.sg/gallery/89/4-star-toilet-dhoby-ghaut-mrt-station,"11 Orchard Road, S(238826) NS24",Dhoby Ghaut MRT Station,Central District,"(1.298811, 103.846127)",4
14,MRT Station,https://www.toilet.org.sg/gallery/319/4-star-toilet-buangkok-mrt-station-ne15,"10 Sengkang Central, S(545061)",Buangkok MRT Station (NE15),North East District,"(1.3822965, 103.8928083)",4
15,Shopping Centre,https://www.toilet.org.sg/gallery/130/5-star-toilet-sembawang-mart,"Blk 511 Canberra Road, S(750511)",Sembawang Mart,North West District,"(1.4538337, 103.8195883)",5
16,MRT Station,https://www.toilet.org.sg/gallery/248/4-stars-tampines-east-mrt-station-dt33,"20 Tampines Avenue 7, S(529623)",Tampines East MRT Station (DT33),North East District,"(1.3568215, 103.9556869)",4
17,Market & Food Centre,https://www.toilet.org.sg/gallery/342/3-star-toilet-whampoa-drive-makan-place-blk-92,"Blk 92 Whampoa Drive, S(320092)",Whampoa Drive Makan Place@Blk 92,Central District,"(1.3231083, 103.8538791)",3
18,MRT Station,https://www.toilet.org.sg/gallery/145/4-star-toilet-bedok-mrt-station,"315 New Upper Changi Road, S(467347)",Bedok MRT Station,South East District,"(1.3239657, 103.9300335)",4
19,Shopping Centre,https://www.toilet.org.sg/gallery/166/3-star-toilet-yew-tee-square,"624 Choa Chu Kang Street 62, S(680624)",Yew Tee Square,South West District,"(1.3981277, 103.7468169)",3
20,MRT Station,https://www.toilet.org.sg/gallery/417/4-Star-Toilet-Caldecott-Mrt-Station-TE9-,"38 Toa Payoh Rise, S(298113)",Caldecott MRT Station (TE9),Central District,"(1.3378174, 103.8394749)",4
21,Place of Worship,https://www.toilet.org.sg/gallery/385/4-star-toilet-assyakirin-mosque,"550 Yung An Road, S(618617)",Assyakirin Mosque,South West District,"(1.3355308, 103.7195949)",4
22,Private Office,https://www.toilet.org.sg/gallery/139/3-star-toilet-kah-engineering-1986-pte-ltd,"96B Jalan Senang, S(418482)",Kah Engineering (1988) Pte Ltd,South East District,"(1.3269508, 103.9167487)",3
23,MRT Station,https://www.toilet.org.sg/gallery/370/4-star-toilet-choa-chu-kang-mrt-station-ns4,10 Choa Chu Kang Avenue 4 S(689810),Choa Chu Kang MRT Station (NS4),South West District,"(1.3852487, 103.7443487)",4
24,Hospital,https://www.toilet.org.sg/gallery/48/5-star-toilet-tan-tock-seng-hospital,"11 Jalan Tan Tock Seng, S(308433)",Tan Tock Seng Hospital,Central District,"(1.3210806, 103.8456848)",5
25,MRT Station,https://www.toilet.org.sg/gallery/347/4-star-toilet-commonwealth-mrt-station-ew20,"375 Commonwealth Avenue, S(149735)",Commonwealth MRT Station (EW20),Central District,"(1.3024362, 103.798297)",4
26,Shopping Centre,https://www.toilet.org.sg/gallery/207/6-star-toilet-the-shoppes-at-marina-bay-sands,"2 Bayfront Avenue, S(018972)",The Shoppes at Marina Bay Sands,Central District,"(1.2836602, 103.8592707)",6
27,Bus Interchange,https://www.toilet.org.sg/gallery/290/3-star-toilet-joo-koon-bus-interchange,"55 Benoi Road, S(629907)",Joo Koon Bus Interchange,South West District,"(1.3261298, 103.6783611)",3
28,Place of worship,https://www.toilet.org.sg/gallery/407/3-star-toilet-st-george-s-church,"44 Minden Road, S(248816)",St.George's Church,Central District,"(1.304811, 103.815153)",3
29,MRT Station,,"90 Bras Basah Road, S(189562)",Esplanade MRT Station,Central District,"(1.2934, 103.8556519)",4
30,Market & Food Centre,https://www.toilet.org.sg/gallery/22/4-star-toilet-berseh-food-centre,"166 Jalan Besar, S(208877)",Berseh Food Centre,Central District,"(1.3075861, 103.8569093)",4
31,Bus Interchange,https://www.toilet.org.sg/gallery/136/3-star-toilet-woodlands-bus-interchange,"3A Woodlands Square, S(727735)",Woodlands Temporary Bus Interchange,North West District,"(1.4382545, 103.7866262)",3
32,Shopping Centre,,"Blk 768 Woodlands Street 61, S(730768)",Woodlands Mart,North West District,"(1.445962, 103.798159)",3
33,Food Court,https://www.toilet.org.sg/gallery/134/4-star-toilet-ntuc-foodfare-ktph,"90 Yishun Central, S(768828)",NTUC Foodfare KTPH,North West District,"(1.4242972, 103.8385907)",4
34,Coffeeshop,https://www.toilet.org.sg/gallery/181/3-star-toilet-ntuc-foodfare-choa-chu-kang,"Blk 303, Choa Chu Kang Avenue 4, #01-723, S(680303)",NTUC Foodfare Choa Chu Kang,South West District,"(1.3845137, 103.7436364)",3
35,Bus Interchange,https://www.toilet.org.sg/gallery/424/5-Star-Toilet-Woodlands-Integrated-Transport-Hub,"30 Woodlands Avenue, S(738343)",Woodlands Integrated Transport Hub,North West District,"(1.437284, 103.787152)",5
36,MRT Station,https://www.toilet.org.sg/gallery/318/4-star-toilet-botanic-garden-mrt-station-dt9,"100 Cluny Park, S(257494)",Botanic Garden (DT9),Central District,"(1.3222145, 103.8145958)",4
37,Club,https://www.toilet.org.sg/gallery/394/5-star-toilet-ntuc-club-downtown-east,1 Pasir Ris Close S(519599),NTUC Club Downtown East,North East District,"(1.3788396, 103.9549927)",5
38,Bus Interchange,https://www.toilet.org.sg/gallery/293/3-star-toilet-st-michael-s-bus-terminal,"10 Whampoa Road, S(327691)",St. Michael's Bus Terminal,Central District,"(1.326925, 103.855475)",3
39,Bus Interchange,https://www.toilet.org.sg/gallery/404/4-star-toilet-ang-mo-kio-bus-depot,"Ang Mo Kio Street 52, S(569140)",Ang Mo Kio Bus Depot,Central District,"(1.3725641, 103.8533049)",4
40,MRT Station,https://www.toilet.org.sg/gallery/328/4-star-toilet-serangoon-mrt-station-ne12,"600 Upper Serangoon Rd., S(534801)",Serangoon MRT Station (NE12),South East District,"(1.3493666, 103.873754)",4
41,MRT Station,https://www.toilet.org.sg/gallery/387/4-star-toilet-woodlands-mrt-station-tel2,"11 Woodlands Square, S(737736)",Woodlands Station (TEL2),North West District,"(1.435942, 103.785665)",4
42,Hospital,https://www.toilet.org.sg/gallery/317/4-star-toilet-sengkang-general-hospital,"110 Sengkang East Way, S(544886)",Sengkang General Hospital,Central District,"(1.3936788, 103.8931894)",4
43,MRT Station,https://www.toilet.org.sg/gallery/202/4-star-toilet-dt20-fort-canning-station,"170 River Valley Road, S(179038)",Fort Canning MRT Station (DT20),Central District,"(1.2929188, 103.8445026)",4
44,Tourist Attraction,https://www.toilet.org.sg/gallery/60/5-star-toilet-sentosa-imbiah-lookout,"Imbiah Lookout, Sentosa, S(099538)",Sentosa Imbiah Lookout,Central District,"(1.2548481, 103.8176246)",5
45,MRT Station,https://www.toilet.org.sg/gallery/324/4-star-toilet-newton-mrt-station-dt11,"235 Bukit Timah Road, S(229901)",Newton MRT Station (DT11),Central District,"(1.3138094, 103.8377028)",4
46,MRT Station,https://www.toilet.org.sg/gallery/259/4-stars-serangoon-mrt-station-cc13,"600 Upper Serangoon Rd, S(534801)",Serangoon MRT Station CC13,South East District,"(1.3493666, 103.873754)",4
47,MRT Station,https://www.toilet.org.sg/gallery/100/4-star-toilet-tanah-merah-mrt,"920 New Upper Changi Road, (467356)",Tanah Merah MRT Station,North East District,"(1.3272004, 103.9463949)",4
48,MRT Station,https://www.toilet.org.sg/gallery/90/4-star-toilet-city-hall-mrt-station,"150 North Bridge Road, S(179100) EW13",City Hall MRT Station,Central District,"(1.2930838, 103.8520376)",4
49,Shopping Centre,https://www.toilet.org.sg/gallery/398/5-star-toilet-buangkok-square-mall,"991 Buangkok Link, Buangkok Square Mall, S(530991)",Buangkok Square Mall,Central District,"(1.384629, 103.8820363)",5
50,MRT Station,https://www.toilet.org.sg/gallery/251/4-stars-bedok-reservoir-mrt-station-dt30,"371 Bedok North Avenue 3, S(469724)",Bedok Reservoir MRT Station (DT30),North East District,"(1.3330224, 103.9339584)",4
51,Shopping Centre,https://www.toilet.org.sg/gallery/168/4-star-toilet-greenridge-shopping-centre,"524A Jelapang Road, S(671524)",Greenridge Shopping Centre,South West District,"(1.3853755, 103.7663006)",4
52,MRT Station,https://www.toilet.org.sg/gallery/94/4-star-toilet-raffles-place-mrt-station,"5 Raffles Place, S(048618)",Raffles Place MRT Station,Central District,"(1.2844808, 103.8514561)",4
53,MRT Station,https://www.toilet.org.sg/gallery/327/4-star-toilet-sengkang-mrt-staton-ne16,"5 Sengkang Square, S(545062)",Sengkang MRT Station (NE16),North East District,"(1.3914004, 103.895835)",4
54,MRT Station,https://www.toilet.org.sg/gallery/420/4-Star-Toilet-Springleaf-Mrt-Station-TE-4-,"825 Upper Thomson Road, S(787140)",Springleaf MRT Station (TE4),North West District,"(1.396435, 103.8186104)",4
55,Market & Food Centre,https://www.toilet.org.sg/gallery/103/3-star-toilet-chomp-chomp-food-centre,"20 Kensington Park Road, S(557269)",Chomp Chomp Food Centre,North East District,"(1.3642285, 103.8666004)",3
56,MRT Station,https://www.toilet.org.sg/gallery/82/4-star-toilet-ang-mo-kio-mrt-station,"2450 Ang Mo Kio Avenue 8, S(569811)",Ang Mo Kio MRT station,Central District,"(1.3707675, 103.8486932)",4
57,MRT Station,https://www.toilet.org.sg/gallery/199/4-star-toilet-telok-blangah-mrt-station,"38, Toa Payoh Rise, S(298113)",Telok Blangah MRT station,South West District,"(1.3378174, 103.8394749)",4
58,MRT Station,https://www.toilet.org.sg/gallery/258/4-stars-paya-lebar-mrt-station-cc09,"30 Paya Lebar Road, S(409006)",Paya Lebar MRT Station CC09,South East District,"(1.3181412, 103.8931028)",4
59,MRT Station,https://www.toilet.org.sg/gallery/352/4-star-toilet-pioneer-mrt-station-ew-28,"31 Jurong West Street 63, S(648310)",Pioneer MRT Station (EW28),South West District,"(1.3375443, 103.696933)",4
60,Market & Food Centre,https://www.toilet.org.sg/gallery/150/4-star-toilet-bedok-food-centre,"1 Bedok Road, S(469572)",Bedok Food Centre,South East District,"(1.3203848, 103.9555055)",4
61,Bus Interchange,https://www.toilet.org.sg/gallery/288/3-star-toilet-compassvale-bus-interchange,"51A, Compassvale Road, S(544760)",Compassvale Bus Interchange,North East District,"(1.3912847, 103.8972048)",3
62,Market & Food Centre,https://www.toilet.org.sg/gallery/409/5-star-toilet-east-coast-lagoon-food-village,"1220 East Coast Parkway, S(468960)",East Coast Lagoon Food Village,South East District,"(1.3068502, 103.9349848)",5
63,MRT Station,https://www.toilet.org.sg/gallery/81/4-star-toilet-braddell-mrt-station,"377 Lorong 1, Toa Payoh, S(319756)",Braddell MRT Station,Central District,"(1.340703, 103.84668)",4
64,MRT Station,https://www.toilet.org.sg/gallery/364/4-star-toilet-yishun-mrt-station,"301 Yishun Avenue 2, S(769093)",Yishun MRT Station (NS13),North West District,"(1.4292805, 103.8351674)",4
65,Shopping Centre,https://www.toilet.org.sg/gallery/335/5-star-toilet-singpost-centre,"Singpost Centre, 10 Eunos Rd, S(408600)",SingPost Centre,South East District,"(1.318903, 103.894049)",5
66,Bus Interchange,https://www.toilet.org.sg/gallery/289/3-star-toilet-eunos-bus-interchange,"409 Eunos Road 2, S(409388)",Eunos Bus Interchange,South East District,"(1.3194036, 103.9018975)",3
67,MRT Station,https://www.toilet.org.sg/gallery/93/4-star-toilet-tanjong-pagar-mrt-station,"120 Maxwell Road, S(069119)",Tanjong Pagar MRT Station,Central District,"(1.2767709, 103.8451658)",4
68,MRT Station,https://www.toilet.org.sg/gallery/348/4-star-toilet-dover-mrt-station-ew22,"200 Commonwealth Avenue West, S(138677)",Dover MRT Station (EW22),North West District,"(1.3114722, 103.7784322)",4
69,Government Office,https://www.toilet.org.sg/gallery/411/5-star-toilet-maritime-and-port-authority-of-singapore,"460 Alexandra Road, #18-00, S(119963)",Maritime and Port Authority of Singapore,Central District,"(1.2736761, 103.8015216)",5
70,Dormitory,,"5 Jalan Papan Road, S(619396)",Aspri-Westlite Construction Site,South West District,"(1.322186, 103.7280569)",4
71,Shopping Centre,https://www.toilet.org.sg/gallery/167/3-star-toilet-gek-poh-shopping-centre,"Blk 762, Jurong West Street 75, S(640762)",Gek Poh Shopping Centre,South West District,"(1.3489162, 103.6976086)",3
72,Market & Food Centre,https://www.toilet.org.sg/gallery/383/3-star-toilet-hong-lim-market-and-food-centre,"Blk 531A Upper Cross Street, S(510531)",Hong Lim Market & Food Centre,Central District,"(1.2853166, 103.8458369)",3
73,MRT Station,https://www.toilet.org.sg/gallery/147/4-star-toilet-paya-lebar-mrt-station,"30 Paya Lebar Road, S(409006)",Paya Lebar MRT Station,South East District,"(1.3181412, 103.8931028)",4
74,MRT Station,https://www.toilet.org.sg/gallery/99/4-star-toilet-kembangan-mrt,"55 Sims Avenue East, S(416551)",Kembangan MRT Station,North East District,"(1.3209589, 103.9126762)",4
75,Bus Interchange,https://www.toilet.org.sg/gallery/292/4-star-toilet-shenton-way-bus-terminal,"31 Shenton Way, S(079121)",Shenton Way Bus Terminal,Central District,"(1.2746784, 103.8476788)",3
76,Bus Interchange,https://www.toilet.org.sg/gallery/138/5-star-toilet-yishun-bus-interchange,"20A Yishun Central, S(768830)",Yishun Integrated Hub Bus Interchange,North West District,"(1.4294629, 103.837294)",5
77,MRT Station,https://www.toilet.org.sg/gallery/322/4-star-toilet-kovan-mrt-ne13,"900 Upper Serangoon Rd, S(534799)",Kovan MRT Station (NE13),North East District,"(1.359923, 103.885144)",4
78,Market & Food Centre,https://www.toilet.org.sg/gallery/160/4-star-toilet-pasir-panjang-food-centre,"121 Pasir Panjang Road, S(118543)",Pasir Panjang Food Centre,South West District,"(1.2759677, 103.7913379)",4
79,Library,https://www.toilet.org.sg/gallery/69/5-star-toilet-national-library,"100 Victoria Street, S(188064)",National Library,Central District,"(1.2974415, 103.8541438)",5
80,Market & Food Centre,https://www.toilet.org.sg/gallery/392/4-star-toilet-blk-16-bedok-south-road-market-and-food-centre,"Blk 16, Bedok South Road, S(460016)",Blk 16 Bedok South Road Market & Food Centre,South East District,"(1.3205358, 103.9355169)",4
81,MRT Station,https://www.toilet.org.sg/gallery/77/4-star-toilet-marina-bay-mrt-station,"21 Marina Station Road, S(018990)",Marina Bay MRT Station,Central District,"(1.276274, 103.854629)",4
82,Shopping Centre,https://www.toilet.org.sg/gallery/117/4-star-toilet-elias-mall,"Blk 625, Level 1 & 2, Elias Road, S(510625)",Elias Mall,North East District,"(1.3729979, 103.9401392)",4
83,Bus Interchange,https://www.toilet.org.sg/gallery/315/4-star-toilet-tampines-bus-interchange,"512 Tampines Central 1, S(520512)",Tampines Bus Interchange,North East District,"(1.3536424, 103.9430565)",4
84,Tourist Attraction,https://www.toilet.org.sg/gallery/333/5-star-toilet-sentosa-boardwalk,Sentosa Boardwalk,Sentosa Boardwalk,Central District,"(1.2600847, 103.8231988)",5
85,Market & Food Centre,https://www.toilet.org.sg/gallery/161/5-star-toilet-taman-jurong-market-food-centre,"3 Yung Sheng Road, S(618499)",Taman Jurong Market & Food Centre,South West District,"(1.3347853, 103.7215856)",5
86,Tourist Attraction,https://www.toilet.org.sg/gallery/59/5-star-toilet-sentosa-imbiah-station,"Imbiah Express Station, Sentosa, S(099981)",Sentosa Imbiah Station,Central District,"(1.2555253, 103.8160214)",5
87,MRT Station,https://www.toilet.org.sg/gallery/197/4-star-toilet-pasir-panjang-mrt-station,"71, Farrer Road, S(268857)",Pasir Panjang MRT station,South West District,"(1.3174314, 103.8077866)",4
88,Industrial Complex,https://www.toilet.org.sg/gallery/311/3-star-toilet-jurong-port-off-shore-marine-centre,"101 Tuas South Avenue, S(637423)",Jurong Port Offshore Marine Centre,South West District,"(1.2909697, 103.6193621)",3
89,Bus Interchange,https://www.toilet.org.sg/gallery/310/3-star-toilet-hougang-bus-interchange,"840 Hougang Central, S(53877)",Hougang Bus Interchanage,North East District,"(1.3708569, 103.8930782)",3
90,MRT Station,https://www.toilet.org.sg/gallery/416/4-Star-Toilet-Bright-Hill-Mrt-Station-TE7-,"100 Sin Ming Avenue, S(575737)",Bright Hill MRT Station (TE7),Central District,"(1.3627468, 103.8374238)",4
91,MRT Station,https://www.toilet.org.sg/gallery/421/4-Star-Toilet-Upper-Thomson-Mrt-Station-TE8-,"1 Jalan Keli, S(577937)",Upper Thomson MRT Station (TE8),Central District,"(1.3539717, 103.8338127)",4
92,Bus Interchange,https://www.toilet.org.sg/gallery/180/5-star-toilet-choa-chu-kang-bus-interchange,"301 Choa Chu Kang Central Avenue 3, S(689811)",Choa Chu Kang Bus Interchange,South West District,"(1.382925, 103.744482)",5
93,Bus Interchange,https://www.toilet.org.sg/gallery/314/3-star-toilet-sengkang-bus-interchange,"13 Sengkang Square, S(545077)",Sengkang Bus Interchange,North East District,"(1.3914826, 103.8959744)",3
94,MRT Station,https://www.toilet.org.sg/gallery/83/4-star-toilet-bishan-mrt-station,"200 Bishan Road, S(579827)",Bishan MRT station,Central District,"(1.3507653, 103.848362)",4
95,Market & Food Centre,https://www.toilet.org.sg/gallery/126/3-star-toilet-holland-village-market-and-food-centre,"1 Lorong Mambong, S(277700)",Holland Village Market & Food Centre,North West District,"(1.311087, 103.7949113)",3
96,Foodcourt,https://www.toilet.org.sg/gallery/177/5-star-toilet-kopitiam-national-university-hospital,"5 Lower Kent Ridge Rd, #01-01, S(119074)",Kopitiam,South West District,"(1.2946909, 103.7832309)",5
97,Government Office,,"3, Sakra Road, S(627878)","JTC, Chemgallery at Oasis @ Sakra",South West District,"(1.2675487, 103.704573)",5
98,Market & Food Centre,https://www.toilet.org.sg/gallery/269/3-stars-timbre-ayer-rajah-crescent-hawker-centre,"73A Ayer Rajah Crescent, S(139957)",Timbre + Ayer Rajah Crescent Hawker Centre,South West District,"(1.297437, 103.7875057)",3
99,Shopping Centre,https://www.toilet.org.sg/gallery/115/4-and-5-star-toilet-white-sands,"1 Pasir Ris Central Street 3, S(518457)",White Sands,North East District,"(1.3724166, 103.9496584)",5
100,Bus Interchange,https://www.toilet.org.sg/gallery/304/3-star-toilet-kent-ridge-bus-terminal,"37B, Clementi Road, S(884005)",Kent Ridge Bus Terminal,Central District,"(1.2942117, 103.7690639)",3
101,MRT Station,https://www.toilet.org.sg/gallery/121/4-star-toilet-admiralty-mrt-station,"70 Woodlands Avenue, S(738344)",Admiralty MRT Station,North West District,"(1.440681, 103.800957)",4
102,MRT Station,https://www.toilet.org.sg/gallery/357/3-star-toilet-farrer-park-mrt-station-ne8,"250 Race Course Road, S(218703)",Farrer Park MRT Station (NE8),Central District,"(1.312604, 103.854359)",3
103,Market & Food Centre,https://www.toilet.org.sg/gallery/341/3-star-toilet-whampoa-drive-makan-place-blk-90,"Blk 90 Whampoa Drive, S(320090)",Whampoa Drive Makan Place@Blk 90,Central District,"(1.3230663, 103.8550175)",3
104,Industrial Complex,https://www.toilet.org.sg/gallery/280/5-Star-Toilet-Cleantech-2,"3 Cleantech Loop, S(637143)",CleanTech Two,South West District,"(1.3551615, 103.6935338)",5
105,Market & Food Centre,https://www.toilet.org.sg/gallery/340/3-star-toilet-upper-boon-keng-market-and-food-centre,"Blk 17, Upper Boon Keng Road, S(380017)",Upper Boon Keng Market & Food Centre,Central District,"(1.3150436, 103.8717193)",3
106,MRT Station,https://www.toilet.org.sg/gallery/326/4-star-toilet-rochor-mrt-stationn-dt13,"11 Rochore Canal Road, S(188505)",Rochor MRT Station (DT13),Central District,"(1.3035563, 103.8525538)",4
